observableId	observableFormula	noiseFormula	noiseDistribution
EGF_1	-r0*EGF*Raf	sigma	normal
Raf_1	(r_1*pMek*pRaf)+(r_3*pErk*pRaf)-(r0*EGF*Raf)	sigma	normal
pRaf_1	(r0*EGF*Raf)-(r_1*pMek*pRaf)-(r3*pRaf*Erk)-(r_3*pErk*pRaf)	sigma	normal
Mek_1	(r_2*pErk*pMek)-(r1*pRaf*Mek)	sigma	normal
pMek_1	(r1*pRaf*Mek)-(r_1*pMek*pRaf)-(r2*pMek*Erk)-(r_2*pErk*pMek)	sigma	normal
Erk_1	(r4*pErk)-(r3*pRaf*Erk)-(r2*pMek*Erk)	sigma	normal
pErk_1	(r2*pMek*Erk)-(r_2*pErk*pMek)+(r3*pRaf*Erk)-(r_3*pErk*pRaf)-(r4*pErk)	sigma	normal
