parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
r0	lin	-500	500		1
r_0	lin	-500	500		1
r1	lin	-5	5	1.11	0
r2	lin	-5	5	1	0
r3	lin	-5	5	0.09	0
r_1	lin	-5	5	-0.1	0
r_2	lin	-5	5	-0.35	0
r_3	lin	-5	5	-0.53	0
d	lin	-500	500		1
sigma	lin	-5	5		1
