parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
r0	lin	-10000	10000		1
r_0  	lin	-10000	10000		1
r1	lin	-500	500	6.18	0
r2	lin	-500	500	0.63	0
r3	lin	-500	500	0.96	0
r_1	lin	-500	500	0.17	0
r_2	lin	-500	500	3.73	0
r_3	lin	-500	500	0.4	0
sigma	lin	-10000	10000		1
