parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
r0	lin	-10000	10000		1
r1	lin	-500	500	1.11	0
r2	lin	-500	500	1	0
r3	lin	-500	500	0.09	0
r_1	lin	-500	500	0.1	0
r_2	lin	-500	500	0.35	0
r_3	lin	-500	500	0.53	0
sigma	lin	-10000	10000		1
