observableId	simulationConditionId	measurement	time
EGF_1	EGF_stimuli	100.0	0.01
pErk_1	EGF_stimuli	0.01	0.01
pErk_1	EGF_stimuli	0.7	100.0
pErk_1	EGF_stimuli	1.0	280.0
pErk_1	EGF_stimuli	0.41	420.0
pErk_1	EGF_stimuli	0.1	600.0
pErk_1	EGF_stimuli	0.03	840.0
pErk_1	EGF_stimuli	0.01	1800.0
pErk_1	EGF_stimuli	0.01	2400.0
pErk_1	EGF_stimuli	0.01	3000.0
