parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
r0	lin	-1000	1000		1
r1	lin	-50	50	1.11	0
r2	lin	-50	50	1	0
r3	lin	-50	50	0.09	0
r_1	lin	-50	50	0.1	0
r_2	lin	-50	50	0.35	0
r_3	lin	-50	50	0.53	0
sigma	lin	-100	100		1
