observableId	observableFormula	noiseFormula	noiseDistribution
EGF_1	-r0*EGF	sigma	normal
Raf_1	(r0*EGF)+(r_3*Erk)+(r_1*Mek)-(r3*Raf)-(r1*Raf)	sigma	normal
Mek_1	(r1*Raf)+(r_2*Erk)-(r_1*Mek)-(r2*Mek)	sigma	normal
Erk_1	(r3*Raf)+(r2*Mek)-(r_2*Erk)-(r_3*Erk)-(d*Erk)	sigma	normal
