parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
r0	lin	-1000	1000		1
r1	lin	-1000	1000	1.11	0
r2	lin	-1000	1000	1.08	0
r3	lin	-1000	1000	0.09	0
r_1	lin	-1000	1000	0.1	0
r_2	lin	-1000	1000	0.35	0
r_3	lin	-1000	1000	0.53	0
r4	lin	-1000	1000		1
sigma	lin	-1000	1000		1
