parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
r0	lin	-100	100		1
r1	lin	-10	10	1.11	0
r2	lin	-10	10	1.08	0
r3	lin	-10	10	0.09	0
r_1	lin	-10	10	-0.1	0
r_2	lin	-10	10	-0.35	0
r_3	lin	-10	10	-0.53	0
d	lin	-100	100		1
sigma	lin	-10	10		1
