observableId	simulationConditionId	measurement	time
NGF_1	NGF_stimuli	50.0	0
Erk_1	NGF_stimuli	0.0	0
Erk_1	NGF_stimuli	0.19	100
Erk_1	NGF_stimuli	0.9	280
Erk_1	NGF_stimuli	1.0	420
Erk_1	NGF_stimuli	0.67	600
Erk_1	NGF_stimuli	0.55	840
Erk_1	NGF_stimuli	0.58	1800
Erk_1	NGF_stimuli	0.5	2400
Erk_1	NGF_stimuli	0.55	3000
