parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
r0	lin	-10000.0	10000.0	1.0	1
r1	lin	0.78	1.52	1.0	0
r2	lin	0.88	1.1	1.0	0
r3	lin	-0.02	0.21	1.0	0
r_1	lin	-0.37	0.12	1.0	0
r_2	lin	-0.79	-0.07	1.0	0
r_3	lin	-0.88	-0.32	1.0	0
d	lin	-10000.0	10000.0	1.0	1
sigma	lin	0.01	0.1	0.01	1
